Serie,dateprel,geno,bac,trait,ST,idepi,niveau,idepillet,dateflo,grain,pfmg,psmg,volmm3,qteaumg,teneaupct,temp,daa,msumtpgr
3,07/04/2016,49,6,31,400,656,2,12,23/03/2016,2,28.402,,33.0985986,,,29,15,404
3,22/04/2016,49,6,31,800,657,2,13,23/03/2016,1,31.082,27.849,26.6676016,3.233,10.40151856,29,30,823.5
3,22/04/2016,49,6,31,800,657,2,13,23/03/2016,2,29.896,,25.47957007,,,29,30,823.5
3,22/04/2016,49,6,31,800,657,2,14,23/03/2016,1,28.071,25.186,26.45624017,2.885,10.2775106,29,30,823.5
3,22/04/2016,49,6,31,800,657,2,14,23/03/2016,2,23.796,,24.17734326,,,29,30,823.5
3,29/03/2016,49,6,31,67,658,2,11,26/03/2016,1,11.348,1.987,19.62155286,9.361,82.49030666,29,3,65.8
3,29/03/2016,49,6,31,67,658,2,11,26/03/2016,2,8.872,,15.73891354,,,29,3,65.8
3,29/03/2016,49,6,31,67,658,2,12,26/03/2016,1,12.636,2.361,22.5144998,10.275,81.31528965,29,3,65.8
3,29/03/2016,49,6,31,67,658,2,12,26/03/2016,2,10.863,,17.43281011,,,29,3,65.8
3,08/04/2016,49,6,31,290,669,2,12,27/03/2016,1,40.231,15.055,44.1464905,25.176,62.57860854,29,12,294.3
3,08/04/2016,46,6,31,290,669,2,12,27/03/2016,2,35.997,,39.90523796,,,29,12,294.3
3,08/04/2016,49,6,31,290,669,2,13,27/03/2016,1,39.47,14.448,45.78829799,25.022,63.39498353,29,12,294.3
3,08/04/2016,46,6,31,290,669,2,13,27/03/2016,2,36.183,,39.4905288,,,29,12,294.3
3,05/04/2016,49,6,31,145,670,2,12,30/03/2016,1,31.252,7.138,35.15211011,24.114,77.15986177,29,6,149.9
